nome_planta
Aa achalensis
Aaronsohnia factorovskyi
Abacopterella altifrons
Abarema diamantina
Abatia canescens
Abelmoschus enbeepeegearensis
Abies flinckii
Abolboda abbreviata
Abrahamia antongilensis
Abrodictyum cylindratum
Abronia alpina
Abrotanella caespitosa
Abrus aureus
Abuta acutifolia
Abutilon amplum
Acacia alaticaulis
Acaciella sotoi
Acaena anserovina
Acalypha abingdonii
Acampe hulae
Acamptopappus shockleyi
Acanthella conferta
Acanthocarpus canaliculatus
Acanthocereus atropurpureus
Acanthocladus colombianus
Acanthocoleus elgonensis
Acanthodesmos distichus
Acantholimon acanthobryum
Acanthomintha ilicifolia
Acanthopale aethiogermanica
Acanthophippium bicolor
Acanthophoenix rousselii
Acanthophyllum aculeatum
Acanthopsis adamanticola
Acanthorrhynchium altisetulum
Acanthosicyos horridus
Acanthospermum consobrinum
Acanthostachys calcicola
Acanthosyris annonagustata
Acanthus albus
Acareosperma spireanum
Acaulimalva glandulifera
Acaulon anomalum
Acaulonopsis eureka
Acer amamiense
Aceratium archboldianum
Acharia tragodes
Achatocarpus balansae
Achillea absinthoides
Achimenes admirabilis
Achlyphila disticha
Achnatherum pilosum
Achnophora tatei
Achnopogon virgatus
Achyranthes mangarevica
Achyrocline albicans
Achyronychia cooperi
Achyropappus queretarensis
Achyropsis filifolia
Achyrospermum axillare
Aciachne acicularis
Acianthera amandae
Acianthus cuneatus
Acicarpha obtusisepala
Acidocroton acunae
Acidodontium indicum
Acidosasa chinensis
Acidoton haitiensis
Acilepis belcheri
Acineta alticola
Acioa schultesii
Aciotis brachybotria
Aciphylla anomala
Acis ionica
Acisanthera boliviensis
Ackama nubicola
Acleisanthes anisophylla
Acmadenia alternifolia
Acmanthera cowanii
Acmella grandiflora
Acokanthera laevigata
Acomis bella
Aconitum abietetorum
Acosmium cardenasii
Acourtia belizeana
Acranthera anamallica
Acridocarpus alopecurus
Acriopsis carrii
Acritodon nephophilus
Acritopappus catolesensis
Acrobolbus antillanus
Acrobotrys discolor
Acroceras attenuatum
Acrocladium trichocladium
Acrocomia corumbaensi
Acrodon caespitosus
Acroglochin obtusifolia
Acrolejeunea allisonii
Acrolophozia fuegiana
Acromastigum aurescens
Acronema alpinum
Acronychia aberrans
Acropogon aoupiniensis
Acroporium aciphyllum
Acrorchis roseola
Acrosanthes microphylla
Acrosorus pectinatus
Acrostichum schlimense
Acrosynanthus jamaicensis
Acrotome hispida
Acrotrema agastyamalayanum
Acrotriche affinis
Acrymia ajugiflora
Actaea ludovicii
Actephila alanbakeri
Actinanthus syriacus
Actinidia callosa
Actiniopteris dimorpha
Actinobole drummondiana
Actinodaphne albifrons
Actinodontium pygmaeum
Actinorhytis calapparia
Actinoschoenus repens
Actinostachys macrofunda
Actinostemma parvifolium
Actinostemon amazonicus
Actinotus forsythii
Adamantinia miltonioides
Adansonia fony
Adelanthus integerrimus
Adelia obovata
Adelobotrys acreana
Adelonema orientale
Adelostigma athrixioides
Adenandra acuta
Adenanthera borneensis
Adenanthos acanthophyllus
Adenarake macrocarpa
Adenia adenifera
Adenium dhofarense
Adenocalymma apetiolatum
Adenocarpus artemisiifolius
Adenocaulon lyratum
Adenochilus gracilis
Adenocline pauciflora
Adenocritonia adamsii
Adenodolichos acutifoliolatus
Adenogramma asparagoides
Adenoncos buruensis
Adenonema petraeum
Adenophaedra cearensis
Adenophora amurica
Adenophorus abbottiae
Adenopodia gymnantha
Adenosma annamense
Adenostemma afrum
Adenostoma fasciculatum
Adesmia aconcaguensis
Adiantopsis asplenioides
Adiantum acrolobum
Adina dissimilis
Adinandra angulata
Adiscanthus fusciflorus
Adlumia asiatica
Adolphia californica
Adonidia dransfieldii
Adonis globosa
Adoxa xizangensis
Adromischus coleorum
Aechmea aenigmatica
Aedesia engleriana
Aegilops insulae-cypri
Aeginetia flava
Aegiphila aculeifera
Aeglopsis beguei
Aegokeras gazipashensis
Aegonychon calabricum
Aegopodium burttii
Aeluropus badghyzi
Aenictophyton reconditum
Aenigmanu alvareziae
Aeollanthus alternatus
Aeonium aguajilvense
Aequatorium asterotrichum
Aerangis bouarensis
Aeranthes adenopoda
Aerides agasthiyamalaiana
Aerobryopsis aristifolia
Aerobryum brevicuspis
Aerva artemisioides
Aeschynanthus acuminatissimus
Aeschynomene acutangula
Aesculus marylandica
Aetanthus coriaceus
Aetheolaena loesneri
Aetheolirion stenolobium
Aethionema acarii
Aextoxicon punctatum
Afgekia mahidoliae
Afoninia dahurica
Afraegle mildbraedii
Aframomum albiflorum
Afraurantium senegalense
Afroaster ananthocladus
Afrohybanthus indicus
Afrostyrax kamerunensis
Afrothismia amietii
Afrotrewia kamerunica
Afrotrichloris hyaloptera
Afrotrilepis jaegeri
Afrotysonia pilosicaulis
Afzelia peturei
Agalinis bandeirensis
Agalmyla aitinyuensis
Aganosma lacei
Agapanthus caulescens
Agapetes aborensis
Agarista revolutissima
Agastache eplingiana
Agatea lecointei
Agathelpis adunca
Agathis atropurpurea
Agathisanthemum assimile
Agathosma abrupta
Agave abisaii
Agelaea annobonensis
Agelanthus atrocoronatus
Ageratina acevedoana
Ageratinastrum fruticosum
Ageratum anisochroma
Aglaia amplexicaulis
Aglaonema birmanicum
Aglossorrhyncha aurea
Agonandra brasiliensis
Agonis undulata
Agouticarpa grandistipula
Agrianthus almasensis
Agrimonia gorovoii
Agriophyllum latifolium
Agropyron deweyi
Agrostis acutiflora
Agrostistachys staminodiata
Agrostophyllum acuminatum
Agrostopoa barclayae
Agrotrigia kotovii
Aguiaria excelsa
Ahernia glandulosa
Aichryson azuajei
Aidia abeidii
Ailanthus fordii
Ainsliaea angustata
Aiouea benthamiana
Aiphanes acaulis
Aira hercynica
Airosperma fuscum
Aistopetalum multiflorum
Aitchisoniella himalayensis
Aizoon asbestinum
Ajania abolinii
Ajaniopsis penicilliformis
Ajuga arabica
Akeassia grangeoides
Akrosida floribunda
Alafia alba
Alangium barbatum
Alantsilodendron glomeratum
Alatiliparis filicornes
Alatococcus siqueirae
Alatoseta tenuis
Alberta magna
Albertisia crassa
Albizia androyensis
Albraunia foveopilosa
Albuca adlami
Alcantarea abacta
Alcea abchazica
Alchemilla abchasica
Alchornea acroneura
Alchorneopsis portoricensis
Aldama mesoamericana
Aldina barnebyana
Alectra bainesii
Alectryon bleeseri
Aleisanthia sylvatica
Aleisanthiopsis multiflora
Alepidea acutidens
Alepidocline macdonaldana
Aletris bracteata
Aleuritopteris confundans
Alexa bauhiniiflora
Alexgeorgea ganopoda
Alfaroa costaricensis
Alfredia aspera
Algaria natalieae
Algernonia glazioui
Algrizea minor
